Fund ID,Effective Date,NAV,Income,Capital Gain,Total Distribution,Reinvestment Price
49337,2021-08-27,10.699,,,,
49337,2021-08-26,10.6488,,,,
49337,2021-08-25,10.6539,,,,
49337,2021-08-24,10.6315,,,,
49337,2021-08-23,10.6132,,,,
49337,2021-08-20,10.6239,,,,
49337,2021-08-19,10.571,,,,
49337,2021-08-18,10.5212,,,,
49337,2021-08-17,10.5579,,,,
49337,2021-08-16,10.6106,0.0495,,0.0495,10.596
49337,2021-08-13,10.6455,,,,
49337,2021-08-12,10.632,,,,
49337,2021-08-11,10.63,,,,
49337,2021-08-10,10.6079,,,,
49337,2021-08-09,10.6192,,,,
49337,2021-08-06,10.6194,,,,
49337,2021-08-05,10.5891,,,,
49337,2021-08-04,10.5736,,,,
49337,2021-08-03,10.5903,,,,
49337,2021-08-02,10.4825,,,,
49337,2021-07-30,10.4825,,,,
49337,2021-07-29,10.5143,,,,
49337,2021-07-28,10.4964,,,,
49337,2021-07-27,10.4899,,,,
49337,2021-07-26,10.5068,,,,
49337,2021-07-23,10.5384,,,,
49337,2021-07-22,10.4841,,,,
49337,2021-07-21,10.4736,,,,
49337,2021-07-20,10.4504,,,,
49337,2021-07-19,10.3788,,,,
49337,2021-07-16,10.4536,0.0495,,0.0495,10.5332
49337,2021-07-15,10.5827,,,,
49337,2021-07-14,10.5467,,,,
49337,2021-07-13,10.5584,,,,
49337,2021-07-12,10.5434,,,,
49337,2021-07-09,10.5153,,,,
49337,2021-07-08,10.4451,,,,
49337,2021-07-07,10.5321,,,,
49337,2021-07-06,10.5029,,,,
49337,2021-07-05,10.4538,,,,
49337,2021-07-02,10.4421,,,,
49337,2021-07-01,10.4226,,,,
49337,2021-06-30,10.4226,,,,
49337,2021-06-29,10.4356,,,,
49337,2021-06-28,10.4089,,,,
49337,2021-06-25,10.3968,,,,
49337,2021-06-24,10.3786,,,,
49337,2021-06-23,10.3112,,,,
49337,2021-06-22,10.3268,,,,
49337,2021-06-21,10.3323,,,,
49337,2021-06-18,10.2722,,,,
49337,2021-06-17,10.3458,,,,
49337,2021-06-16,10.3312,0.0495,,0.0495,10.3421
49337,2021-06-15,10.3916,,,,
49337,2021-06-14,10.3745,,,,
49337,2021-06-11,10.3761,,,,
49337,2021-06-10,10.3137,,,,
49337,2021-06-09,10.2882,,,,
49337,2021-06-08,10.3221,,,,
49337,2021-06-07,10.2984,,,,
49337,2021-06-04,10.2991,,,,
49337,2021-06-03,10.2425,,,,
49337,2021-06-02,10.2405,,,,
49337,2021-06-01,10.254,,,,
49337,2021-05-31,10.1852,,,,
49337,2021-05-28,10.2142,,,,
49337,2021-05-27,10.1802,,,,
49337,2021-05-26,10.1896,,,,
49337,2021-05-25,10.116,,,,
49337,2021-05-24,10.0468,,,,
49337,2021-05-21,10.0468,,,,
49337,2021-05-20,10.0535,,,,
49337,2021-05-19,9.9903,,,,
49337,2021-05-18,9.9957,,,,
49337,2021-05-17,10.0057,0.0495,,0.0495,10.0312
49337,2021-05-14,10.0807,,,,
49337,2021-05-13,9.9654,,,,
49337,2021-05-12,9.8889,,,,
49337,2021-05-11,10.0418,,,,
49337,2021-05-10,10.115,,,,
49337,2021-05-07,10.2255,,,,
49337,2021-05-06,10.1514,,,,
49337,2021-05-05,10.1708,,,,
49337,2021-05-04,10.1661,,,,
49337,2021-05-03,10.2202,,,,
49337,2021-04-30,10.201,,,,
49337,2021-04-29,10.2839,,,,
49337,2021-04-28,10.3026,,,,
49337,2021-04-27,10.3257,,,,
49337,2021-04-26,10.3386,,,,
49337,2021-04-23,10.3573,,,,
49337,2021-04-22,10.2779,,,,
49337,2021-04-21,10.326,,,,
49337,2021-04-20,10.3273,,,,
49337,2021-04-19,10.363,,,,
49337,2021-04-16,10.4077,0.0495,,0.0495,10.3906
49337,2021-04-15,10.4401,,,,
49337,2021-04-14,10.3221,,,,
49337,2021-04-13,10.3471,,,,
49337,2021-04-12,10.3249,,,,
49337,2021-04-09,10.3189,,,,
49337,2021-04-08,10.318,,,,
49337,2021-04-07,10.2895,,,,
49337,2021-04-06,10.2704,,,,
49337,2021-04-05,10.2229,,,,
49337,2021-04-02,10.1503,,,,
49337,2021-04-01,10.1503,,,,
49337,2021-03-31,10.0247,,,,
49337,2021-03-30,10.039,,,,
49337,2021-03-29,10.0208,,,,
49337,2021-03-26,10.0443,,,,
49337,2021-03-25,9.9356,,,,
49337,2021-03-24,9.8838,,,,
49337,2021-03-23,9.9648,,,,
49337,2021-03-22,10.029,,,,
49337,2021-03-19,9.9769,,,,
49337,2021-03-18,9.9731,,,,
49337,2021-03-17,10.0365,,,,
49337,2021-03-16,10.022,0.0495,,0.0495,10.0528
49337,2021-03-15,10.1023,,,,
49337,2021-03-12,10.049,,,,
49337,2021-03-11,10.1002,,,,
49337,2021-03-10,10.0244,,,,
49337,2021-03-09,9.9956,,,,
49337,2021-03-08,9.8582,,,,
49337,2021-03-05,9.9315,,,,
49337,2021-03-04,9.8057,,,,
49337,2021-03-03,9.9419,,,,
49337,2021-03-02,10.0366,,,,
49337,2021-03-01,10.1062,,,,
49337,2021-02-26,9.9492,,,,
49337,2021-02-25,9.9652,,,,
49337,2021-02-24,10.1098,,,,
49337,2021-02-23,10.0946,,,,
49337,2021-02-22,10.1324,,,,
49337,2021-02-19,10.2311,,,,
49337,2021-02-18,10.2424,,,,
49337,2021-02-17,10.3175,,,,
49337,2021-02-16,10.3529,0.0495,,0.0495,10.3586
49337,2021-02-15,10.4081,,,,
49337,2021-02-12,10.4081,,,,
49337,2021-02-11,10.3663,,,,
49337,2021-02-10,10.3394,,,,
49337,2021-02-09,10.3262,,,,
49337,2021-02-08,10.3271,,,,
49337,2021-02-05,10.2561,,,,
49337,2021-02-04,10.2356,,,,
49337,2021-02-03,10.1431,,,,
49337,2021-02-02,10.1389,,,,
49337,2021-02-01,10.065,,,,
49337,2021-01-29,9.8428,,,,
49337,2021-01-28,10.0263,,,,
49337,2021-01-27,9.936,,,,
49337,2021-01-26,10.0939,,,,
49337,2021-01-25,10.172,,,,
49337,2021-01-22,10.1341,,,,
49337,2021-01-21,10.1179,,,,
49337,2021-01-20,10.1341,,,,
49337,2021-01-19,10.0792,,,,
49337,2021-01-18,10.0432,0.0495,,0.0495,9.9966
49337,2021-01-15,10.0461,,,,
49337,2021-01-14,10.0729,,,,
49337,2021-01-13,10.1038,,,,
49337,2021-01-12,10.1114,,,,
49337,2021-01-11,10.1178,,,,
49337,2021-01-08,10.1478,,,,
49337,2021-01-07,10.0741,,,,
49337,2021-01-06,9.957,,,,
49337,2021-01-05,9.9184,,,,
49337,2021-01-04,9.898,,,,
49337,2021-01-01,9.8998,,,,
49337,2020-12-31,9.8998,,,,
49337,2020-12-30,9.9134,0.0487,0.0751,0.1238,9.9065
49337,2020-12-29,10.0304,,,,
49337,2020-12-28,9.9916,,,,
49337,2020-12-25,9.9916,,,,
49337,2020-12-24,9.9916,,,,
49337,2020-12-23,9.992,,,,
49337,2020-12-22,9.9978,,,,
49337,2020-12-21,9.9618,,,,
49337,2020-12-18,9.9839,,,,
49337,2020-12-17,9.9829,,,,
49337,2020-12-16,9.9162,,,,
49337,2020-12-15,9.8563,,,,
49337,2020-12-14,9.7963,,,,
49337,2020-12-11,9.83,,,,
49337,2020-12-10,9.8287,,,,
49337,2020-12-09,9.859,,,,
49337,2020-12-08,9.9317,,,,
49337,2020-12-07,9.8848,,,,
49337,2020-12-04,9.8791,,,,
49337,2020-12-03,9.8553,,,,
49337,2020-12-02,9.8563,,,,
49337,2020-12-01,9.8531,,,,
49337,2020-11-30,9.7811,,,,
49337,2020-11-27,9.87,,,,
49337,2020-11-26,9.8415,,,,
49337,2020-11-25,9.8206,,,,
49337,2020-11-24,9.8242,,,,
49337,2020-11-23,9.7622,,,,
49337,2020-11-20,9.7342,,,,
49337,2020-11-19,9.7189,,,,
49337,2020-11-18,9.6973,,,,
49337,2020-11-17,9.7635,,,,
49337,2020-11-16,9.7767,0.0487,,0.0487,9.7013
49337,2020-11-13,9.7501,,,,
49337,2020-11-12,9.6506,,,,
49337,2020-11-11,9.6923,,,,
49337,2020-11-10,9.597,,,,
49337,2020-11-09,9.5759,,,,
49337,2020-11-06,9.5176,,,,
49337,2020-11-05,9.5131,,,,
49337,2020-11-04,9.3794,,,,
49337,2020-11-03,9.2282,,,,
49337,2020-11-02,9.1199,,,,
49337,2020-10-30,9.0753,,,,
49337,2020-10-29,9.1559,,,,
49337,2020-10-28,9.093,,,,
49337,2020-10-27,9.2883,,,,
49337,2020-10-26,9.3262,,,,
49337,2020-10-23,9.4336,,,,
49337,2020-10-22,9.4055,,,,
49337,2020-10-21,9.3872,,,,
49337,2020-10-20,9.3989,,,,
49337,2020-10-19,9.4022,,,,
49337,2020-10-16,9.4977,0.0487,,0.0487,9.514
49337,2020-10-15,9.5627,,,,
49337,2020-10-14,9.557,,,,
49337,2020-10-13,9.5965,,,,
49337,2020-10-12,9.5521,,,,
49337,2020-10-09,9.5521,,,,
49337,2020-10-08,9.5251,,,,
49337,2020-10-07,9.4993,,,,
49337,2020-10-06,9.3925,,,,
49337,2020-10-05,9.4705,,,,
49337,2020-10-02,9.3553,,,,
49337,2020-10-01,9.3994,,,,
49337,2020-09-30,9.362,,,,
49337,2020-09-29,9.3742,,,,
49337,2020-09-28,9.3869,,,,
49337,2020-09-25,9.2649,,,,
49337,2020-09-24,9.1495,,,,
49337,2020-09-23,9.1519,,,,
49337,2020-09-22,9.2873,,,,
49337,2020-09-21,9.2322,,,,
49337,2020-09-18,9.2971,,,,
49337,2020-09-17,9.3368,,,,
49337,2020-09-16,9.3969,0.0487,,0.0487,9.4459
49337,2020-09-15,9.4946,,,,
49337,2020-09-14,9.4326,,,,
49337,2020-09-11,9.3318,,,,
49337,2020-09-10,9.3094,,,,
49337,2020-09-09,9.4143,,,,
49337,2020-09-08,9.2851,,,,
49337,2020-09-07,9.3714,,,,
49337,2020-09-04,9.3714,,,,
49337,2020-09-03,9.4843,,,,
49337,2020-09-02,9.6958,,,,
49337,2020-09-01,9.6264,,,,
49337,2020-08-31,9.5373,,,,
